|Sl No.|District|Block|Gram Panchayat|Village|Household|
326|COOCHBEHAR|Cooch Behar - II|AMBARI|Ambari (29)|2,196|
327|JALPAIGURI|Rajganj|BINAGURI|Ambari Falakata (22)|627|
328|BANKURA|Onda|CHINGANI|Ambari Hazari Gram (169)|95|
329|JALPAIGURI|Dhupguri|CHAMURCHI|Ambari Tea Garden (D) (3)|1,059|
330|MURSHIDABAD|Murshidabad Jiaganj|BAHADURPUR|Ambarnagar (26)|415|
331|NORTH 24 PARAGANAS|Bongaon|GANGANANDAPUR|Ambarpur (10)|876|
332|NORTH 24 PARAGANAS|Gaighata|DHARAMPUR-I|Ambaula (17)|778|
333|KALIMPONG|Gorubathan|DALIM|Ambeok Tea Garden (24)|328|
334|HOWRAH|Shyampur - I|BANESWARPUR-I|Ambere (105)|1,289|
335|BIRBHUM|Rampurhat - II|KALUHA|Ambha (155)|321|
336|BIRBHUM|Murarai - I|RAJGRAM|Ambhua (CT) (14)|2,594|
